Tarih,Saat,Kur,Önem,Veri,Beklenti,Önceki,Çekilme Tarihi
29.02.2024,18:50,USD,Orta,FOMC Üyesi Bostic’in Konuşması,,,2024-10-01 17:07:29
29.02.2024,21:15,USD,Orta,Federal Açık Piyasa Komitesi (FOMC) Üyesi Mester'ın Konuşması,,,2024-10-01 17:07:29
1.03.2024,04:10,USD,Orta,FOMC Üyesi Williams'ın Konuşması,,,2024-10-01 17:07:29
1.03.2024,04:30,CNY,Yüksek,İmalat Satın Alma Müdürleri Endeksi (PMI) (Şub ),,492,2024-10-01 17:07:29
1.03.2024,04:30,CNY,Orta,Çin Bileşik PMI (Şub ),,509,2024-10-01 17:07:29
1.03.2024,10:00,TRY,Yüksek,İmalat PMI (Şub),,49.2,2024-10-01 17:07:29
1.03.2024,11:55,EUR,Orta,"""Almanya İmalat Satın Alma Müdürleri Endeksi (PMI) (Şub )	""",423,455,2024-10-01 17:07:29
1.03.2024,12:00,EUR,Orta,İmalat Satın Alma Müdürleri Endeksi (PMI) (Şub ),461,466,2024-10-01 17:07:29
1.03.2024,13:00,EUR,Yüksek,Tüketici Fiyat Endeksi (TÜFE) (Yıllık) (Şub ),,"2,8%",2024-10-01 17:07:29
1.03.2024,13:00,EUR,Orta,İşsizlik Oranı (Oca),"6,4%","6,4%",2024-10-01 17:07:29
1.03.2024,17:45,USD,Yüksek,Üretim Satın Alma Müdürleri Endeksi (PMI) (Şub ),515,507,2024-10-01 17:07:29
1.03.2024,18:00,USD,Yüksek,ISM İmalat Satın Alma Müdürleri Endeksi (PMI) (Şub ),491,491,2024-10-01 17:07:29
1.03.2024,18:00,USD,Orta,Michigan Enflasyon Beklentisi (Şub ),"3,0%","2,9%",2024-10-01 17:07:29
1.03.2024,18:00,USD,Orta,Michigan 5 Yıllık Enflasyon Beklentisi (Şub ),"2,9%","2,9%",2024-10-01 17:07:29
1.03.2024,18:30,USD,Orta,FOMC Üyesi Bostic’in Konuşması,,,2024-10-01 17:07:29
1.03.2024,21:30,USD,Orta,FOMC Üyesi Daly’nin Konuşması,,,2024-10-01 17:07:29
